Bachelor of Science in Aerospace Engineering,3.1845066398310475
Bachelor of Science in Architecture,3.492924044057431
Bachelor of Science in Biomedical Engineering,3.252925866791086
Bachelor of Science in Building Construction,3.3760822667190813
Bachelor of Science in Economics and International Affairs,3.3146523647443287
Bachelor of Science in Environmental Engineering,3.1788914765630256
"Bachelor of Science in History, Technology, and Society",3.4594046526960334
Bachelor of Science in Industrial Design,3.500780565420437
Bachelor of Science in Neuroscience,3.4004323644053156
Bachelor of Science in Applied Physics - General,3.207430677879511
Bachelor of Science in Applied Physics - Business Option,3.219004258180726
Bachelor of Science in Applied Physics - Physics of Living Systems,3.276642356084379
Bachelor of Science in Biochemistry - General,3.2699652520967355
Bachelor of Science in Biochemistry - Business Option,3.2811051935125466
Bachelor of Science in Biochemistry - Pre-Health Option,3.2706878727550133
Bachelor of Science in Biology - General,3.3695239355731297
Bachelor of Science in Biology - Business Option,3.367491386198047
Bachelor of Science in Business Administration - Accounting,3.3533307456569976
Bachelor of Science in Business Administration - Finance,3.40926847532557
Bachelor of Science in Business Administration - General Management,3.3752065131991245
Bachelor of Science in Business Administration - Information Technology Management,3.381048559082336
Bachelor of Science in Business Administration - Leadership and Organizational Change,3.4060794847440894
Bachelor of Science in Business Administration - Marketing,3.43693564763028
Bachelor of Science in Business Administration - Operations and Supply Chain Management,3.3936461599426737
Bachelor of Business Administration - Strategy and Innovation,3.4667880054851046
Bachelor of Science in Chemical and Biomolecular Engineering - Biotechnology Option,3.0714232059295274
Bachelor of Science in Chemical and Biomolecular Engineering - Standard Option,3.0714232059295274
Bachelor of Science in Chemistry - General ,3.1643415643867154
Bachelor of Science in Chemistry - Biochemistry Option,3.2166871488840623
Bachelor of Science in Chemistry - Business Option,3.1935788713627384
Bachelor of Science in Chemistry - Polymers and Materials Option,3.2272386825459995
Bachelor of Science in Chemistry - Pre-Health Option,3.322291946150516
Bachelor of Science in Civil Engineering (Standard),3.1662636057432727
Bachelor of Science in Civil Engineering - Construction and Infrastructure Systems Engineering,3.298669270367873
Bachelor of Science in Computational Media - Intelligence-Film & Media Studies,3.421728002888982
Bachelor of Science in Computational Media - Intelligence - Games,3.456327732980107
Bachelor of Science in Computational Media - Intelligence-Interaction Design,3.474380194317888
Bachelor of Science in Computational Media - Media-Film & Media Studies,3.4151423475647427
Bachelor of Science in Computational Media - Media-Games,3.4613322627067067
Bachelor of Science in Computational Media - Media-Interaction Design,3.4740417406646826
Bachelor of Science in Computational Media- Music Technology-Intelligence,3.433964634046409
Bachelor of Science in Computational Media- Music Technology-Media ,3.4401328253845005
Bachelor of Science in Computational Media - Music Technology-People,3.4845334029980553
Bachelor of Science in Computational Media - People-Film & Media Studies,3.4535530821561653
Bachelor of Science in Computational Media - People-Games,3.4915783995139553
Bachelor of Science in Computational Media - People-Interaction Design,3.5023633539841463
Bachelor of Science in Computer Engineering - Cybersecurity and Distributed System & Software Design,3.2774969856464287
Bachelor of Science in Computer Engineering- Cybersecurity and Computing Hardware & Emerging Architectures,3.2554563173943922
Bachelor of Science in Computer Engineering - Cybersecurity and Signal & Information Processing,3.2382297724029123
Bachelor of Science in Computer Engineering - Cybersecurity and Telecommunications,3.2248411298710713
